epoch,train_loss,train_acc,val_loss,val_acc,time_s,memory_mb,train_nfe,val_nfe
1,0.20049883161999962,0.9510545454545455,0.04962968633174896,0.9876,6.492813426999874,144.577536,0.0,0.0
2,0.04510843103690581,0.9867454545454546,0.04338279903531075,0.9866,5.92614204199981,145.312256,0.0,0.0
3,0.03433180843483318,0.9897272727272727,0.04727290334105492,0.9856,5.818799633000026,145.312256,0.0,0.0
4,0.027073424151539804,0.9918,0.027280250971019267,0.9908,5.742919607999966,145.312256,0.0,0.0
5,0.02225002441223372,0.9932909090909091,0.04813318986296654,0.9858,5.787834558999975,145.312256,0.0,0.0
6,0.01887419686659493,0.9943636363636363,0.03680906188115478,0.988,5.918205090999891,145.312256,0.0,0.0
7,0.01426670544457368,0.9956,0.036341010865569116,0.9892,5.783374215000094,145.312256,0.0,0.0
8,0.011964419574764643,0.9962545454545455,0.025798290787637235,0.9932,5.923406338999939,145.312256,0.0,0.0
9,0.009665099500255151,0.9970545454545454,0.03375671664103866,0.9908,5.673594010999977,145.312256,0.0,0.0
10,0.007070099020952529,0.9979272727272728,0.01511287602931261,0.9942,5.906940648000045,145.312256,0.0,0.0
11,0.004031076201390136,0.9987818181818182,0.01895161015242338,0.9946,5.743268145999991,145.312256,0.0,0.0
12,0.002815915310010314,0.9993272727272727,0.02230110666844994,0.9938,6.08215845299992,145.312256,0.0,0.0
13,0.0018496152715588158,0.9996545454545455,0.019793979464843868,0.9934,5.771260315999825,145.312256,0.0,0.0
14,0.001570891536247324,0.9996363636363637,0.01709609111510217,0.9958,5.834482808999837,145.312256,0.0,0.0
15,0.0006741166532716968,0.9999454545454546,0.01755683244038373,0.9942,5.935709753000083,145.312256,0.0,0.0
16,0.0004332639560188082,0.9999454545454546,0.016167158285155893,0.9954,5.694493432999934,145.312256,0.0,0.0
17,0.00029413349721686574,1.0,0.016744137476570903,0.9952,5.795711820999941,145.312256,0.0,0.0
18,0.0002908444896276871,1.0,0.01642697040019557,0.9954,5.878237238000111,145.312256,0.0,0.0
19,0.0002518750681033866,1.0,0.0167300392721314,0.995,5.964627668000048,145.312256,0.0,0.0
20,0.00021891879065898882,1.0,0.016149674616660923,0.9954,5.905649168000082,145.312256,0.0,0.0
