epoch,train_loss,train_acc,val_loss,val_acc,time_s,memory_mb,train_nfe,val_nfe
1,1.6255575213114422,0.39866666666666667,1.5041152256011963,0.448,17.80346108899994,284.288512,28.1875,14.0
2,1.2990038538402982,0.5309333333333334,1.2215790649414062,0.5686,20.401776492999943,285.12768,33.04545454545455,20.0
3,1.2320606789694892,0.5592666666666667,1.1979396299362182,0.5696,25.19468173999985,285.12768,41.99431818181818,20.0
4,1.1031863680945502,0.6079777777777777,1.0962665145874024,0.6068,27.5225214459997,285.12768,45.89772727272727,20.0
5,1.0304082526418898,0.6343111111111112,1.070297743988037,0.6224,27.380449520000184,285.12768,46.03409090909091,20.0
6,0.9779257586903042,0.6557777777777778,1.016748249053955,0.6392,28.0006607119999,285.12768,46.375,20.0
7,0.9226527197519938,0.6731555555555555,0.9360320043563842,0.673,30.154650341999968,289.618944,49.23863636363637,20.0
8,0.8850109960132175,0.6880666666666667,0.8802055343627929,0.683,29.057970449000095,289.618944,48.04545454545455,20.0
9,0.8497084303749932,0.7032222222222222,0.8826708983421325,0.6892,29.711714366999786,289.618944,49.375,20.0
10,0.8205869892438252,0.7132,0.856612858581543,0.691,32.63161741000022,289.618944,53.94318181818182,20.0
11,0.7834625013139512,0.724,0.8714747088432312,0.6974,37.14473497200015,289.936896,60.28409090909091,20.0
12,0.7584374066882663,0.7345555555555555,0.9199696934700012,0.6772,35.77061767899977,289.936896,58.47727272727273,20.0
13,0.7347995005501641,0.7429555555555556,0.7412295755386352,0.7338,30.486685785999725,289.618944,50.10795454545455,20.0
14,0.7150397972636753,0.7478444444444444,0.7457634973526001,0.7374,30.54730582100001,289.618944,50.17613636363637,20.0
15,0.6926258691893683,0.7580888888888889,0.7724466800689698,0.7352,30.947030646999792,289.618944,50.85795454545455,20.0
16,0.6702329190148247,0.7679777777777778,0.6948166848659515,0.7582,31.151685115999953,289.618944,51.23295454545455,20.0
17,0.6518981400171916,0.7735777777777778,0.6849418055057526,0.7546,30.929674592000083,289.618944,51.26704545454545,20.0
18,0.6311067068841723,0.7822,0.717059587097168,0.7518,30.705085645000054,289.618944,50.72159090909091,20.0
19,0.6153631185955472,0.7868222222222222,0.6748447164535523,0.7608,30.371669622000354,289.618944,49.32386363636363,20.0
20,0.6080892963621352,0.7899111111111111,0.721679030752182,0.7468,31.74693129299976,289.618944,51.47159090909091,20.0
21,0.5929166826036242,0.7952666666666667,0.6670927017688751,0.7632,30.80112225699986,289.618944,50.58522727272727,20.0
22,0.5767426604906718,0.7996,0.6236695724487304,0.7838,31.452537193999888,289.618944,51.40340909090909,20.0
23,0.5631402480655247,0.8069333333333333,0.607815892982483,0.7916,38.027167456999905,289.618944,61.17045454545455,20.0
24,0.5467849458588494,0.8127111111111112,0.6888684753417968,0.7636,46.6756334429997,289.936896,74.92613636363636,20.0
25,0.5409685129589504,0.8114666666666667,0.611227618932724,0.7894,47.764750622000065,289.936896,76.1534090909091,20.0
26,0.5315266260359023,0.8149111111111111,0.6288538707256317,0.7864,46.23673164599995,289.936896,73.83522727272727,20.0
27,0.5137792164272732,0.8234444444444444,0.609338588309288,0.7868,40.846346819000246,289.618944,65.73863636363636,20.0
28,0.5052929441875882,0.8261555555555555,0.5936219201087952,0.7932,43.714007291000144,289.618944,70.30681818181819,20.0
29,0.5011023899343279,0.8274666666666667,0.5610286412239075,0.8078,50.75036440199983,289.936896,80.44886363636364,20.0
30,0.4933337298287286,0.8308222222222222,0.6187817790985107,0.7832,50.45824827000024,289.936896,80.43181818181819,20.0
31,0.47746564824316234,0.8360444444444445,0.5565989708781243,0.8068,50.45992813800012,289.936896,80.41477272727273,20.0
32,0.4756125639597575,0.8353777777777778,0.5886319175720215,0.8018,50.93956182900001,289.936896,81.2159090909091,20.0
33,0.46831172284020317,0.8394,0.580233059334755,0.8022,50.37046820600017,289.936896,80.85795454545455,20.0
34,0.46291621831787955,0.8403555555555555,0.565020902132988,0.8026,50.35736352699996,289.936896,80.6534090909091,20.0
35,0.45368151019414266,0.8427333333333333,0.5834254155516625,0.8024,51.729735681999955,289.936896,82.06818181818181,20.0
36,0.4411216851287418,0.8481333333333333,0.5291034100532531,0.8184,50.53514496099979,289.936896,80.60227272727273,20.0
37,0.43206526854832966,0.8505777777777778,0.5554438060760498,0.8092,50.310628033000285,289.936896,80.3465909090909,20.0
38,0.4305431783888075,0.8513555555555555,0.5226786382198334,0.8174,50.13749998399999,289.936896,80.05681818181819,20.0
39,0.4202256851938036,0.8550888888888889,0.515391145324707,0.8206,50.21733280099943,289.936896,80.03977272727273,20.0
40,0.4123577335039775,0.8586222222222222,0.5191180420160294,0.8208,50.23542444800023,289.936896,79.95454545454545,20.0
41,0.40540343386862016,0.8611777777777778,0.524939676117897,0.8182,50.432816927000204,289.936896,80.22727272727273,20.0
42,0.40113778478834367,0.8624222222222222,0.5231778607368469,0.822,49.9660790300004,289.936896,79.81818181818181,20.0
43,0.39721988720364043,0.8626,0.5093566243171692,0.8318,49.78979941899979,289.936896,79.25568181818181,20.0
44,0.3878075685183207,0.8662666666666666,0.5102077997922897,0.8222,50.690045518999796,289.936896,80.19318181818181,20.0
45,0.38906437882847256,0.8661111111111112,0.49928149089813234,0.833,49.81847380100044,289.936896,79.30681818181819,20.0
46,0.3829514493730333,0.8672,0.49961311926841734,0.8302,49.49354354099978,289.936896,78.98295454545455,20.0
47,0.3784440914577908,0.8705777777777778,0.49258653297424315,0.8334,49.92878130900044,289.936896,79.73295454545455,20.0
48,0.3699034813563029,0.8717111111111111,0.5015132403612137,0.8338,49.53118973000073,289.936896,79.44318181818181,20.0
49,0.3676157315121757,0.8727555555555555,0.4875068045735359,0.836,49.23404540199954,289.936896,79.17045454545455,20.0
50,0.36431239334742227,0.8740666666666667,0.4940843598246574,0.8356,50.406566302999636,289.936896,79.39204545454545,20.0
51,0.3636466262605455,0.8753333333333333,0.49016126918792724,0.8312,49.60200330299995,289.936896,79.32386363636364,20.0
52,0.3556043086899651,0.8777555555555555,0.4924114976644516,0.8294,49.82913313500012,289.936896,79.61363636363636,20.0
53,0.3572262037012312,0.8774888888888889,0.49425639390945436,0.8336,49.75897035700018,289.936896,79.4090909090909,20.0
54,0.3530241205480364,0.8780222222222223,0.4875144449591637,0.8392,49.279995733999385,289.936896,79.25568181818181,20.0
55,0.3511408751328786,0.8782,0.49129795699119566,0.8358,50.14449951200004,289.936896,79.9375,20.0
56,0.3494056805080838,0.8803333333333333,0.48744014555215837,0.8326,50.175357768999675,289.936896,79.5625,20.0
57,0.3496666951815287,0.8787555555555555,0.4786137907981873,0.8382,50.180540432999805,289.936896,80.03977272727273,20.0
58,0.34813247747421266,0.8803111111111112,0.48462192143201827,0.8376,50.29211262799981,289.936896,79.68181818181819,20.0
59,0.3464949886586931,0.8813555555555556,0.48934980700016023,0.838,50.257249774999764,289.936896,79.88636363636364,20.0
60,0.34788173786799115,0.8804888888888889,0.48264215378761294,0.833,49.73722541799998,289.936896,79.46022727272727,20.0
